User_ID,Country,Age,Country_ID
1,usa,60.0,0
2,usa,18,0
6,usa,61,0
9,usa,60.0,0
12,usa,60.0,0
14,usa,60.0,0
16,usa,60.0,0
20,usa,19,0
23,usa,60.0,0
25,usa,55,0
26,usa,60.0,0
27,usa,32,0
30,usa,24,0
33,usa,34,0
35,usa,17,0
40,usa,32,0
41,usa,14,0
42,usa,17,0
44,usa,51,0
48,usa,60.0,0
51,usa,34,0
54,usa,44,0
59,usa,23,0
61,usa,30,0
62,usa,60.0,0
63,usa,57,0
73,usa,60.0,0
75,usa,37,0
76,usa,60.0,0
81,usa,60.0,0
82,usa,60.0,0
84,usa,60.0,0
88,usa,60.0,0
89,usa,54,0
90,usa,42,0
93,usa,50,0
95,usa,60.0,0
97,usa,60.0,0
103,usa,53,0
104,usa,47,0
106,usa,60.0,0
108,usa,60.0,0
110,usa,60.0,0
113,usa,60.0,0
115,usa,60.0,0
116,usa,60.0,0
117,usa,57,0
119,usa,35,0
121,usa,60.0,0
122,usa,60.0,0
123,usa,24,0
124,usa,58,0
125,usa,49,0
128,usa,60.0,0
129,usa,47,0
131,usa,60.0,0
136,usa,60.0,0
138,usa,28,0
141,usa,60.0,0
142,usa,60.0,0
143,usa,26,0
144,usa,62,0
146,usa,60.0,0
147,usa,60.0,0
159,usa,60.0,0
167,usa,60.0,0
168,usa,44,0
169,usa,60.0,0
170,usa,60.0,0
173,usa,60.0,0
178,usa,28,0
184,usa,60.0,0
186,usa,60.0,0
187,usa,29,0
188,usa,17,0
192,usa,60.0,0
194,usa,60.0,0
195,usa,23,0
203,usa,60.0,0
207,usa,60.0,0
210,usa,54,0
213,usa,60.0,0
214,usa,27,0
217,usa,60.0,0
222,usa,60.0,0
225,usa,60.0,0
226,usa,60.0,0
228,usa,41,0
239,usa,60.0,0
241,usa,60.0,0
245,usa,31,0
256,usa,60.0,0
259,usa,45,0
260,usa,51,0
262,usa,28,0
263,usa,60.0,0
267,usa,29,0
273,usa,60.0,0
276,usa,60.0,0
278,usa,21,0
280,usa,60.0,0
283,usa,60.0,0
286,usa,17,0
287,usa,60.0,0
288,usa,19,0
289,usa,15,0
290,usa,60.0,0
292,usa,22,0
294,usa,60.0,0
295,usa,28,0
297,usa,27,0
298,usa,60.0,0
300,usa,60.0,0
301,usa,32,0
302,usa,53,0
303,usa,60.0,0
304,usa,24,0
305,usa,60.0,0
306,usa,60.0,0
317,usa,41,0
320,usa,37,0
327,usa,60.0,0
328,usa,33,0
332,usa,59,0
338,usa,60.0,0
343,usa,60.0,0
345,usa,27,0
348,usa,60.0,0
352,usa,28,0
358,usa,60.0,0
367,usa,45,0
368,usa,35,0
370,usa,60.0,0
378,usa,57,0
380,usa,60.0,0
381,usa,60.0,0
390,usa,48,0
391,usa,60.0,0
400,usa,60.0,0
403,usa,60.0,0
404,usa,37,0
411,usa,27,0
412,usa,60.0,0
414,usa,34,0
415,usa,60.0,0
416,usa,31,0
417,usa,60.0,0
418,usa,60.0,0
419,usa,14,0
421,usa,47,0
426,usa,60.0,0
428,usa,60.0,0
